NC_000932.1	ycf2_2	100.00	6885	0	0	86474	93358	1	6885	0.0e+00	13318.0
NC_000932.1	ycf2_2	100.00	6885	0	0	145291	152175	6885	1	0.0e+00	13318.0
NC_000932.1	ycf2	100.00	6885	0	0	86474	93358	1	6885	0.0e+00	13318.0
NC_000932.1	ycf2	100.00	6885	0	0	145291	152175	6885	1	0.0e+00	13318.0
NC_000932.1	ycf1_2	100.00	5361	0	0	123884	129244	5361	1	0.0e+00	10284.0
NC_000932.1	ycf1_2	100.00	1030	0	0	109405	110434	1	1030	0.0e+00	1987.0
NC_000932.1	rpoC2	100.00	4131	0	0	15938	20068	4131	1	0.0e+00	7986.0
NC_000932.1	rpoB	100.00	3219	0	0	23111	26329	3219	1	0.0e+00	6234.0
NC_000932.1	psaA	100.00	2253	0	0	39605	41857	2253	1	0.0e+00	4375.0
NC_000932.1	psaA	93.15	73	5	0	38705	38777	929	857	2.3e-29	127.0
NC_000932.1	ndhF	100.00	2241	0	0	110398	112638	2241	1	0.0e+00	4306.0
NC_000932.1	ndhF	100.00	37	0	0	128215	128251	2205	2241	2.3e-12	70.0
NC_000932.1	psaB	100.00	2205	0	0	37375	39579	2205	1	0.0e+00	4279.0
NC_000932.1	psaB	93.15	73	5	0	40929	41001	875	803	2.3e-29	127.0
NC_000932.1	rpoC1	100.00	1613	0	0	20251	21863	2043	431	0.0e+00	3122.0
NC_000932.1	rpoC1	100.00	430	0	0	22655	23084	430	1	2.5e-241	831.0
NC_000932.1	psbB	100.00	1527	0	0	72371	73897	1	1527	0.0e+00	2970.0
NC_000932.1	atpA	100.00	1524	0	0	9938	11461	1524	1	0.0e+00	2957.0
NC_000932.1	matK	100.00	1515	0	0	2056	3570	1515	1	0.0e+00	2914.0
NC_000932.1	atpB	100.00	1497	0	0	52660	54156	1497	1	0.0e+00	2910.0
NC_000932.1	ndhD	100.00	1503	0	0	115665	117167	1503	1	0.0e+00	2896.0
NC_000932.1	accD	100.00	1467	0	0	57075	58541	1	1467	0.0e+00	2827.0
NC_000932.1	rbcL	100.00	1440	0	0	54958	56397	1	1440	0.0e+00	2803.0
NC_000932.1	psbC	100.00	1422	0	0	33720	35141	1	1422	0.0e+00	2767.0
NC_000932.1	ndhH	100.00	1182	0	0	122011	123192	1182	1	0.0e+00	2286.0
NC_000932.1	psbD	100.00	1062	0	0	32711	33772	1	1062	0.0e+00	2063.0
NC_000932.1	psbA	100.00	1062	0	0	383	1444	1062	1	0.0e+00	2062.0
NC_000932.1	ycf1	100.00	1032	0	0	109405	110436	1	1032	0.0e+00	1991.0
NC_000932.1	ycf1	100.00	1030	0	0	128215	129244	1030	1	0.0e+00	1987.0
NC_000932.1	rpoA	100.00	990	0	0	77901	78890	990	1	0.0e+00	1908.0
NC_000932.1	ccsA	100.00	987	0	0	114461	115447	1	987	0.0e+00	1894.0
NC_000932.1	petA	100.00	963	0	0	61657	62619	1	963	0.0e+00	1864.0
NC_000932.1	ndhB_2	100.00	777	0	0	141485	142261	1	777	0.0e+00	1502.0
