psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
282	0	0	0	0	0	0	0	++	NC_000932.1	164478	152505	152787	rpl23_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_346_ENDKEY	282	0	282	1	282,	152505,	0,
282	0	0	0	0	0	0	0	++	NC_000932.1	164478	152505	152787	rpl23_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_242_ENDKEY	282	0	282	1	282,	152505,	0,
102	0	0	0	0	0	0	0	++	NC_000932.1	164478	74081	74183	psbT_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_197_ENDKEY	102	0	102	1	102,	74081,	0,
201	0	0	0	0	0	0	0	++	NC_000932.1	164478	67487	67688	rpl33_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_177_ENDKEY	201	0	201	1	201,	67487,	0,
135	0	0	0	0	0	0	0	++	NC_000932.1	164478	66928	67063	psaJ_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_174_ENDKEY	135	0	135	1	135,	66928,	0,
96	0	0	0	0	0	0	0	++	NC_000932.1	164478	65711	65807	petL_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_164_ENDKEY	96	0	96	1	96,	65711,	0,
114	0	0	0	0	0	0	0	++	NC_000932.1	164478	65997	66111	petG_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_167_ENDKEY	114	0	114	1	114,	65997,	0,
113	1	0	0	0	0	0	0	++	NC_000932.1	164478	154365	154479	rps19_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_236_ENDKEY	279	0	114	1	114,	154365,	0,
468	0	0	0	0	0	0	0	++	NC_000932.1	164478	140703	141171	rps7_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_333_ENDKEY	468	0	468	1	468,	140703,	0,
468	0	0	0	0	0	0	0	++	NC_000932.1	164478	140703	141171	rps7_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_255_ENDKEY	468	0	468	1	468,	140703,	0,
222	0	0	0	0	0	0	0	++	NC_000932.1	164478	74484	74706	psbH_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_203_ENDKEY	222	0	222	1	222,	74484,	0,
90	0	0	0	0	0	0	0	++	NC_000932.1	164478	28088	28178	petN_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_59_ENDKEY	90	0	90	1	90,	28088,	0,
189	0	0	0	0	0	0	0	++	NC_000932.1	164478	35750	35939	psbZ_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_81_ENDKEY	189	0	189	1	189,	35750,	0,
643	0	0	0	0	0	0	0	++	NC_000932.1	164478	75649	76292	petB_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_206_ENDKEY	648	5	648	1	643,	75649,	5,
257	0	0	0	1	537	0	0	++	NC_000932.1	164478	139855	140649	rps12_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_3_ENDKEY	372	114	371	2	232,25,	139855,140624,	114,346,
257	0	0	0	1	537	0	0	++	NC_000932.1	164478	139855	140649	rps12_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_186_ENDKEY	372	114	371	2	232,25,	139855,140624,	114,346,
823	2	0	0	1	682	0	0	++	NC_000932.1	164478	152805	154312	rpl2_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_349_ENDKEY	825	0	825	2	385,440,	152805,153872,	0,385,
823	2	0	0	1	682	0	0	++	NC_000932.1	164478	152805	154312	rpl2_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_239_ENDKEY	825	0	825	2	385,440,	152805,153872,	0,385,
1422	0	0	0	0	0	0	0	++	NC_000932.1	164478	33719	35141	psbC_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_76_ENDKEY	1422	0	1422	1	1422,	33719,	0,
690	0	0	0	0	0	0	0	++	NC_000932.1	164478	60740	61430	cemA_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_146_ENDKEY	690	0	690	1	690,	60740,	0,
1032	0	0	0	0	0	0	0	++	NC_000932.1	164478	109404	110436	ycf1_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_274_ENDKEY	1032	0	1032	1	1032,	109404,	0,
159	0	0	0	0	0	0	0	++	NC_000932.1	164478	113448	113607	rpl32_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_280_ENDKEY	159	0	159	1	159,	113448,	0,
1062	0	0	0	0	0	0	0	++	NC_000932.1	164478	32710	33772	psbD_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_73_ENDKEY	1062	0	1062	1	1062,	32710,	0,
1467	0	0	0	0	0	0	0	++	NC_000932.1	164478	57074	58541	accD_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_137_ENDKEY	1467	0	1467	1	1467,	57074,	0,
555	0	0	0	0	0	0	0	++	NC_000932.1	164478	59771	60326	pafII_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_143_ENDKEY	555	0	555	1	555,	59771,	0,
186	0	0	0	0	0	0	0	++	NC_000932.1	164478	161494	161680	psbK_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_21_ENDKEY	186	0	186	1	186,	161494,	0,
186	0	0	0	0	0	0	0	++	NC_000932.1	164478	7016	7202	psbK_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_21_ENDKEY	186	0	186	1	186,	7016,	0,
111	0	0	0	0	0	0	0	++	NC_000932.1	164478	162060	162171	psbI_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_24_ENDKEY	111	0	111	1	111,	162060,	0,
111	0	0	0	0	0	0	0	++	NC_000932.1	164478	7582	7693	psbI_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_24_ENDKEY	111	0	111	1	111,	7582,	0,
1527	12	0	0	1	685	0	0	++	NC_000932.1	164478	141484	143708	ndhB_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_336_ENDKEY	1539	0	1539	2	754,785,	141484,142923,	0,754,
1527	12	0	0	1	685	0	0	++	NC_000932.1	164478	141484	143708	ndhB_STARTREF_NC_000932.1.genbank_ENDREF_STARTCMD_cds_ENDCMD_STARTKEY_252_ENDKEY	1539	0	1539	2	754,785,	141484,142923,	0,754,
